token	lemma	pos
vobis	vos	PRO
,	,	$,
fratres	frater	NN
,	,	$,
alia	alius	PRO
quam	quam	ADV
aliis	alius	PRO
de	de	AP
saeculo	saeculum	NN
,	,	$,
aut	aut	CON
certe	certe	ADV
aliter	aliter	ADV
dicenda	dico	V
sunt	sum	V
.	.	$.

illis	ille	PRO
siquidem	siquidem	CON
lac	lacem	PRO
potum	potus	NN
dat	do	V
,	,	$,
et	et	CON
non	non	ADV
escam	esca	NN
,	,	$,
qui	qui	PRO
apostoli	apostolus	NN
formam	forma	NN
tenet	teneo	V
in	in	AP
docendo	doceo	V
.	.	$.

nam	nam	CON
spiritualibus	spiritualis	ADJ
solidiora	solidus	NN
apponenda	appono	V
esse	sum	V
,	,	$,
itidem	ites	ADV
ipse	ipse	PRO
suo	suus	PRO
docet	doceo	V
exemplo	exemplum	NN
,	,	$,
loquimur	loquor	V
,	,	$,
inquiens	inquiens	NN
,	,	$,
non	non	ADV
in	in	AP
doctis	doctum	NN
humanae	humanus	ADJ
sapientiae	sapientia	NN
verbis	verbum	NN
,	,	$,
sed	sed	CON
in	in	AP
doctrina	doctrina	NN
spiritus	spiritus	NN
,	,	$,
spiritualibus	spiritualis	ADV
spiritualia	spiritualis	ADJ
comparantes	comparo	V
;	;	$.
item	item	ADV
,	,	$,
sapientiam	sapientia	NN
loquimur	loquor	V
inter	inter	AP
perfectos	perfectus	NN
,	,	$,
quales	qualis	PRO
vos	vos	PRO
nimirum	nimirum	ADV
esse	sum	V
confido	confidus	V
;	;	$.
nisi	nisi	CON
frustra	frustra	ADV
forte	fors	NN
jam	iam	ADV
ex	ex	AP
longo	longus	ADJ
studiis	studium	NN
estis	sum	V
coelestibus	caelestis	ADJ
occupati	occupo	V
,	,	$,
exercitati	exercito	V
sensibus	sensus	NN
,	,	$,
et	et	CON
in	in	AP
lege	lex	NN
dei	deus	NN
meditati	meditas	V
die	dies	NN
ac	ac	CON
nocte	nox	NN
.	.	$.

itaque	itaque	CON
parate	paro	ADJ
fauces	faucis	NN
,	,	$,
non	non	ADV
lacti	lactum	V
,	,	$,
sed	sed	CON
pani	panus	NP
.	.	$.

est	sum	V
panis	panis	NN
apud	apud	AP
salomonem	salomon	NN
,	,	$,
isque	is	NN
admodum	admodum	ADV
splendidus	splendidus	V
sapidusque	sapidus	NN
;	;	$.
librum	liber	NN
dico	dico	V
,	,	$,
qui	qui	PRO
cantica	canticum	NN
canticorum	canticus	ADJ
inscribitur	inscribo	V
:	:	$.
proferatur	profero	V
,	,	$,
si	si	CON
placet	placeo	V
,	,	$,
et	et	CON
frangatur	frango	V
.	.	$.

nam	nam	CON
de	de	AP
verbis	verbum	NN
ecclesiastes	ecclesiastes	V
satis	satis	ADV
,	,	$,
ni	ni	CON
fallor	fallo	V
,	,	$,
per	per	AP
dei	deus	NN
gratiam	gratia	NN
instructi	instruo	V
estis	sum	V
mundi	mundus	NN
hujus	hic	PRO
cognoscere	cognosco	V
et	et	CON
contemnere	contemno	V
vanitatem	vanitas	NN
.	.	$.

quid	quis	PRO
et	et	CON
parabolas	parabola	V
?	?	$.
an	an	CON
non	non	ADV
vita	vita	NN
et	et	CON
mores	mos	NN
vestri	vester	PRO
juxta	iuxta	AP
eam	is	PRO
quae	qui	PRO
in	in	AP
ipsis	ipse	PRO
invenitur	invenio	V
doctrinam	doctrina	NN
sufficienter	sufficienter	ADV
emendati	emendo	V
sunt	sum	V
et	et	CON
informati	informo	V
?	?	$.
proinde	proinde	ADV
illis	ille	PRO
ambobus	ambo	ADJ
praelibatis	praelibo	V
,	,	$,
quos	qui	PRO
nihilominus	nihilominus	ADV
de	de	AP
amici	amicus	NN
arca	arca	NN
praestitos	praestio	V
accepistis	accipio	V
,	,	$,
accedite	accedo	V
et	et	CON
ad	ad	AP
tertium	tertius	ORD
hunc	hic	PRO
panem	panis	NN
,	,	$,
ut	ut	CON
probetis	probeta	V
forsitan	forsitan	ADV
potiora	potior	V
.	.	$.

cum	cum	CON
enim	enim	CON
duo	duo	NUM
sint	sum	V
mala	malum	NN
,	,	$,
quae	qui	PRO
vel	vel	CON
sola	solus	ADJ
,	,	$,
vel	vel	CON
maxime	magnus	ADJ
militant	milito	V
adversus	adversus	NN
animam	anima	NN
,	,	$,
vanus	vanus	NP
scilicet	scilicet	ADV
amor	amor	NN
mundi	mundus	NN
et	et	CON
superfluus	superfluus	NN
sui	suus	PRO
,	,	$,
pesti	pestus	NN
utrique	uter	PRO
duo	duo	NUM
illi	ille	PRO
libri	liber	NN
obviare	obvio	V
noscuntur	nosco	V
;	;	$.
alter	alter	PRO
sarculo	sarculus	NN
disciplinae	disciplina	NN
prava	pravus	ADJ
quaeque	quisque	PRO
in	in	AP
moribus	mos	NN
,	,	$,
et	et	CON
carnis	caro	NN
superflua	superfluus	ADJ
resecans	reseco	V
;	;	$.
alter	alter	PRO
luce	lux	NN
rationis	ratio	NN
in	in	AP
omni	omnis	ADJ
gloria	gloria	NN
mundi	mundus	NN
fucum	fucus	NN
vanitatis	vanito	NN
sagaciter	sagaciter	ADV
deprehendens	deprehendo	V
,	,	$,
veraciterque	veraciter	ADJ
distinguens	distinguo	V
a	ab	AP
solido	solidus	NN
veritatis	veritas	NN
.	.	$.

denique	denique	ADV
universis	universus	ADJ
humanis	humanus	ADJ
studiis	studium	NN
,	,	$,
ac	ac	CON
mundanis	mundanus	ADJ
desideriis	desiderium	NN
praetulit	praefero	V
deum	deus	NN
timere	timeo	V
,	,	$,
ejusque	is	PRO
observare	observo	V
mandata	mandatum	NN
.	.	$.

merito	merito	ADV
quidem	quidem	ADV
.	.	$.

verae	verus	ADJ
etenim	etenim	CON
sapientiae	sapientia	NN
primum	primum	ADV
illud	ille	PRO
,	,	$,
initium	initium	NN
;	;	$.
secundum	secundum	AP
,	,	$,
consummatio	consummatio	NN
est	sum	V
:	:	$.
si	si	CON
tamen	tamen	ADV
constat	consto	V
vobis	vos	PRO
non	non	ADV
aliud	alius	PRO
veram	verus	ADJ
et	et	CON
consummatam	consummatus	ADJ
esse	sum	V
sapientiam	sapientia	NN
,	,	$,
quam	quam	CON
declinare	declino	V
a	ab	AP
malo	malum	ADJ
,	,	$,
et	et	CON
facere	facio	V
bonum	bonum	NN
;	;	$.
itemque	item	ADV
recedere	recedo	V
a	ab	AP
malo	malum	NN
neminem	nemo	PRO
posse	possum	V
