token	lemma	pos
ecce	ecce	ITJ
quadragesimo	quadragesimus	ORD
tertio	tertius	ORD
temporalis	temporalis	ADJ
cursus	cursus	NN
mei	meus	PRO
anno	annus	NN
,	,	$,
cum	cum	CON
coelesti	caelestis	ADJ
visioni	visio	NP
magno	magnus	ADJ
timore	timor	NN
,	,	$,
tremula	tremula	ADJ
intentione	intentio	NN
inhaererem	inhaeres	NN
,	,	$,
vidi	video	V
maximum	magnus	ADJ
splendorem	splendor	NN
,	,	$,
in	in	AP
quo	quo	CON
facta	facio	V
est	sum	V
vox	vox	NN
de	de	AP
coelo	coel	NN
ad	ad	ADV
me	ego	PRO
dicens	dico	V
:	:	$.
o	o	ITJ
homo	homo	NN
fragilis	fragilis	ADJ
,	,	$,
et	et	CON
cinis	cinis	NN
cineris	cinera	NN
et	et	CON
putredo	putredo	NN
putredinis	putredina	V
,	,	$,
dic	dico	V
et	et	CON
scribe	scribeo	NN
quae	qui	PRO
vides	video	V
et	et	CON
audis	audio	NN
.	.	$.

sed	sed	CON
quia	quia	CON
timida	timidus	NN
es	sum	V
ad	ad	ADV
loquendum	loquor	V
,	,	$,
et	et	CON
simplex	simplex	ADJ
ad	ad	ADV
exponendum	expono	V
,	,	$,
et	et	CON
indocta	indoctus	V
ad	ad	ADV
scribendum	scribo	V
ea	is	PRO
,	,	$,
dic	dico	ADV
et	et	CON
scribe	scribo	NN
ea	is	PRO
non	non	ADV
secundum	secundum	AP
os	os	NN
hominis	homo	NN
,	,	$,
nec	nec	CON
secundum	secundum	AP
intellectum	intellectus	NN
humanae	humanus	ADJ
adinventionis	adinventio	NN
,	,	$,
nec	nec	CON
secundum	secundum	AP
voluntatem	voluntas	NN
humanae	humanus	ADJ
compositionis	compositio	NN
,	,	$,
sed	sed	CON
secundum	secundum	AP
id	is	PRO
quod	quod	CON
ea	is	PRO
in	in	AP
coelestibus	caelestis	NN
desuper	desuper	AP
in	in	AP
mirabilibus	mirabilis	NN
dei	deus	NN
vides	video	V
et	et	CON
audis	audio	ADJ
;	;	$.
ea	is	PRO
sic	sic	ADV
edisserendo	edissero	V
proferens	profero	V
,	,	$,
