token	lemma	pos
taedet	taedo	V
me	ego	PRO
,	,	$,
gallicane	gallicanum	NN
,	,	$,
morarum	mora	NE
,	,	$,
quia	quia	CON
gentem	gens	NN
,	,	$,
quam	quam	PRO
scis	scis	NN
scytharum	scytha	NN
romanae	romanus	ADJ
solam	solus	ADJ
resistere	resisto	V
paci	pax	NN
nostrisque	noster	ADJ
temere	temere	ADV
praeceptis	praeceptum	NN
reluctari	reluctare	V
,	,	$,
bello	bellus	NN
protrahis	protrahaha	NN
lacessere	lacedio	V
,	,	$,
cum	cum	CON
pro	pro	AP
tui	tuus	PRO
strenuitate	strenuitas	NN
id	is	PRO
tibimet	tibimo	V
exercitii	exercitium	NN
ad	ad	ADV
defensionem	defensio	NN
non	non	ADV
ignores	ignor	NN
patriae	patria	NN
servari	servo	V
.	.	$.

tuis	tuus	PRO
enim	enim	CON
,	,	$,
o	o	ITJ
auguste	augustus	NN
constantine	constantinus	NN
,	,	$,
obnixe	obnixe	ADV
manibus	manus	NN
pedibusque	pes	ADJ
semper	semper	ADV
insistens	insisto	V
obsequiis	obsequium	NN
,	,	$,
tuae	tuus	PRO
augustalis	augustalis	ADJ
excellentiae	excellentia	NN
votis	votus	V
effectu	effectus	NN
conabar	conabor	NN
respondere	respondeo	V
operis	opus	NN
,	,	$,
nec	nec	CON
unquam	unquam	ADV
me	ego	PRO
subtraxi	subtraxo	V
faciendis	facio	V
.	.	$.

si	si	CON
opus	opus	NN
est	sum	V
monitu	monitus	V
?	?	$.
nam	nam	CON
memoriae	memoria	NN
fixum	figo	V
teneo	teneo	V
.	.	$.

unde	unde	ADV
monui	monuus	NN
hortando	hortor	V
potius	pote	ADV
quam	quam	CON
arguendo	arguo	V
,	,	$,
morem	mos	NN
ut	ut	CON
geras	gero	NN
.	.	$.

idipsum	idipsum	ADV
etiam	etiam	CON
studebo	studeo	V
nunc	nunc	ADV
.	.	$.

gaudeo	gaudeus	V
.	.	$.

nec	nec	CON
amore	amor	NN
vitae	vita	NN
abduci	abducum	NN
potero	poterus	V
quin	quin	ADV
peragam	perago	NN
quae	qui	PRO
jubes	iubio	NN
.	.	$.

placet	placeo	V
,	,	$,
tuique	tuisque	V
in	in	AP
me	ego	PRO
benevolentiam	benevolentia	V
laudo	laudus	NP
.	.	$.

sed	sed	CON
summa	summa	ADJ
implendae	impleo	NN
intentio	intentio	NN
servitutis	servitus	NN
summam	summa	NN
expetit	expeto	V
recompensationem	recompensatio	NN
mercedis	mercedo	NN
.	.	$.

nec	nec	CON
injuria	iniurius	NN
.	.	$.

difficultas	difficultas	NN
enim	enim	CON
cujuscunque	quicumque	NN
laboris	labor	NN
tolerabilius	tolerabiliter	ADJ
fertur	fero	V
,	,	$,
si	si	CON
haud	haus	ADJ
incerta	incertus	ADJ
accipiendae	accipio	V
spe	spes	NN
mercedis	merces	NN
relevatur	relevo	V
.	.	$.

patet	pateo	V
.	.	$.

unde	unde	ADV
ineundi	ineo	V
praemium	praemium	NN
periculi	periculus	NN
mihi	ego	PRO
,	,	$,
quaeso	quaeso	V
,	,	$,
proponas	propona	NP
in	in	AP
praesenti	praesens	ADJ
,	,	$,
quo	quo	CON
impigre	impige	V
dimicans	dimico	V
sudore	sudor	V
non	non	ADV
frangar	frango	V
certaminis	certo	NN
,	,	$,
animatus	animo	V
spe	spes	NN
retributionis	retributio	NN
.	.	$.

quod	quod	CON
dignissimum	dignus	NN
omnique	omnis	ADJ
videbatur	video	V
senatui	senatus	V
gravissimum	gravis	NN
,	,	$,
nunquam	nunquam	ADV
tibi	tu	PRO
negabam	nego	NN
aut	aut	CON
negabo	nego	ADJ
praemium	praemium	NN
,	,	$,
scilicet	scilicet	ADV
nostrae	noster	PRO
adeptionem	adeptio	NN
familiaritatis	familiaritas	NN
,	,	$,
praecipuaeque	praecipuus	NN
inter	inter	AP
palatinos	palatinus	ADJ
dignitatis	dignitas	NN
.	.	$.

fateor	fateor	NN
,	,	$,
sed	sed	CON
id	is	PRO
nunc	nunc	ADV
haud	non_latin	V
molior	molior	NN
.	.	$.

si	si	CON
aliud	alius	PRO
expetas	expetas	V
,	,	$,
oportet	oportet	V
proferas	profero	NN
.	.	$.

imo	imo	ADV
aliud	alius	PRO
.	.	$.

quid	quis	PRO
?	?	$.
si	si	CON
praesumo	praesumo	V
dicere	dico	V

.	.	$.
.	.	$.
.	.	$.
.	.	$.

et	et	CON
bene	bene	ADJ
.	.	$.

irasceris	irascrius	NN
.	.	$.

nullo	nullus	PRO
modo	modus	NN
.	.	$.

certe	certe	ADV
.	.	$.

non	non	ADV
.	.	$.

moveberis	movebio	NN
indignatione	indignatio	NN
.	.	$.

ne	ne	CON
id	is	PRO
vereare	vereo	V
.	.	$.

dicam	dico	V
,	,	$,
jussisti	iubeo	V
;	;	$.
constantiam	constantia	NN
tui	tuus	PRO
natam	natus	ADJ
amo	amo	V
.	.	$.

et	et	CON
merito	merito	ADV
.	.	$.

decet	decet	V
ut	ut	CON
herilem	herilis	ADJ
filiam	filia	NN
honorabiliter	honorabiliter	ADV
ames	amis	NN
et	et	CON
amabiliter	amabiliter	ADV
honores	honor	NN
.	.	$.

interrumpis	interrumpis	NN
dicenda	dico	V
.	.	$.

non	non	ADV
interrumpo	interrumpo	V
.	.	$.

ipsamque	ipse	ADV
,	,	$,
si	si	CON
tua	tuus	PRO
annuerit	annuo	V
pietas	pietas	NN
,	,	$,
desponsare	desponso	V
gestio	gestio	NN
.	.	$.

non	non	ADV
leve	levis	V
appetit	appeto	V
praemium	praemium	NN
,	,	$,
sed	sed	CON
summum	summus	ADJ
vobisque	vobus	PRO
,	,	$,
o	o	ITJ
principes	princeps	NN
,	,	$,
ante	ante	AP
insolitum	insolitus	NN
.	.	$.

heu	non_latin	NUM
!	!	$.
heu	non_latin	NUM
!	!	$.
dedignatur	dedignor	V
;	;	$.
praescivi	praescivus	NE
.	.	$.

instate	instatus	V
,	,	$,
quaeso	quaeso	V
,	,	$,
mecum	ego	PRO
precibus	prex	NN
.	.	$.

decet	decet	V
tuam	tuus	PRO
,	,	$,
imperator	imperator	NN
egregie	egregies	NN
,	,	$,
dignitatem	dignitas	NN
,	,	$,
ut	ut	CON
pro	pro	AP
sui	suus	PRO
reverentia	reverentia	NN
hoc	hic	PRO
illi	ille	PRO
non	non	ADV
abnuas	abnuo	V
.	.	$.

non	non	ADV
abnuo	abnuo	V
quantum	quantum	ADV
ad	ad	AP
me	ego	PRO
;	;	$.
sed	sed	CON
subtili	subtilis	ADJ
primum	primum	ORD
inquisitione	inquisitio	NN
reor	reor	V
investigandum	investigo	V
,	,	$,
an	an	CON
filia	filia	NN
praebeat	praebeo	V
assensum	assensus	NN
.	.	$.

consequens	consequor	V
est	sum	V
.	.	$.

ibo	ibo	ADJ
,	,	$,
ipsamque	ipse	NN
,	,	$,
si	si	CON
velis	vol	V
,	,	$,
gallicane	gallicanus	V
,	,	$,
pro	pro	AP
hac	hic	PRO
re	res	NN
appellabo	appello	V
.	.	$.

ac	ac	CON
libens	libeo	V
.	.	$.

dominus	dominus	NN
imperator	imperator	NN
adit	adeo	V
nos	nos	PRO
solito	solitus	ADJ
tristior	tristior	NN
.	.	$.

quid	quis	PRO
velit	volo	V
vehementer	vehementer	ADV
admiror	admiror	V
.	.	$.

huc	huc	ADV
ades	ads	NN
,	,	$,
o	o	ITJ
filia	filia	NN
constantia	constantia	ADJ
,	,	$,
paucis	paucus	ADJ
te	tu	PRO
volo	volo	V
.	.	$.

adsum	adsum	V
,	,	$,
domine	dominus	NN
mi	numeral	NUM
;	;	$.
jube	iubeo	ADJ
,	,	$,
quid	quis	PRO
velis	vola	V
.	.	$.

anxietate	anxietas	NN
cordis	cor	NN
fatigor	fatigo	NN
,	,	$,
gravique	gravis	ADJ
tristitia	tristitia	NN
afficior	afficio	NN
.	.	$.

ut	ut	CON
te	tu	PRO
venientem	venio	V
aspexi	aspicio	V
,	,	$,
tristitiam	tristitia	NN
deprehendi	depreho	V
,	,	$,
et	et	CON
licet	licet	V
causam	causa	NN
ignorarem	ignoro	NN
,	,	$,
conturbata	conturbo	V
pertimui	pertimuus	NN
.	.	$.

tui	tuus	PRO
causa	causa	NN
contristor	contristor	V
.	.	$.

mei	meus	PRO
?	?	$.
tui	tuus	PRO
.	.	$.

expaveo	expaveus	NN
;	;	$.
quid	quis	PRO
est	sum	V
,	,	$,
domine	dominus	NN
mi	numeral	NUM
?	?	$.
piget	pigo	V
dicere	dico	V
,	,	$,
ne	ne	CON
contristeris	contristor	V
.	.	$.

multo	multus	ADV
magis	magis	ADV
contristor	contristor	V
,	,	$,
si	si	CON
non	non	ADV
dixeris	dico	V
.	.	$.

gallicanus	gallicanus	NP
dux	dux	NN
,	,	$,
cui	qui	PRO
frequens	frequor	NN
successus	successus	NN
triumphorum	triumphus	NN
primum	primum	ORD
inter	inter	AP
principes	princeps	NN
dignitatis	dignitas	NN
acquisivit	acquiro	V
gradum	gradus	NN
,	,	$,
cujusque	quisque	ADJ
ope	ops	NN
saepissime	saepe	ADV
indigemus	indigeo	V
ad	ad	ADV
defensionem	defensio	NN
patriae	patria	NN

.	.	$.
.	.	$.
.	.	$.
.	.	$.
.	.	$.

quid	quis	PRO
ille	ille	PRO
?	?	$.
desiderat	desidero	V
te	tu	PRO
sponsam	sponsa	ADJ
habitum	habitus	NN
ire	eo	V
.	.	$.

me	ego	PRO
?	?	$.
te	tu	PRO
.	.	$.

mallem	mallis	NN
mori	morior	NN
.	.	$.

praescivi	praescivus	NE
.	.	$.

nec	nec	CON
mirum	mirus	ADJ
,	,	$,
quia	quia	CON
tuo	tuus	PRO
consensu	consensus	NN
,	,	$,
tuo	tuus	PRO
permissu	permitto	V
,	,	$,
servandam	servo	V
deo	deus	NN
virginitatem	virginitas	NN
devovi	devoveo	NE
.	.	$.

memini	meminus	NN
.	.	$.

nullis	nullus	PRO
enim	enim	CON
suppliciis	supplicium	NN
unquam	unquam	ADV
potero	poterus	V
compelli	compellus	NE
,	,	$,
quin	quin	CON
inviolatum	inviolo	ADJ
custodiam	custodia	NN
sacramentum	sacramentum	NN
propositi	propono	V
.	.	$.

convenit	convenio	V
.	.	$.

sed	sed	CON
hinc	hinc	ADV
coarctor	coarctor	V
nimium	nimium	ADV
,	,	$,
quia	quia	CON
si	si	CON
,	,	$,
quod	quod	CON
debet	debeo	V
fieri	fio	V
paterno	paternus	ADJ
more	mos	NN
,	,	$,
te	tu	PRO
in	in	AP
proposito	propositum	NN
permansum	permansus	V
ire	eo	V
consensero	consentero	V
,	,	$,
haud	haudum	V
leve	levis	ADJ
damnum	damnum	NN
patiar	patior	ADJ
in	in	AP
publica	publicus	ADJ
re	res	NN
.	.	$.

si	si	CON
autem	autem	CON
,	,	$,
quod	quod	CON
absit	absum	V
,	,	$,
renitor	renitor	NP
,	,	$,
aeternis	aeternus	ADJ
cruciandus	cruciandus	NE
poenis	poena	NN
subjacebo	subiaceo	NN
.	.	$.

si	si	CON
enim	enim	CON
divinum	divinus	ADJ
desperarem	desperaris	NN
adesse	adsum	V
auxilium	auxilium	NN
,	,	$,
mihi	ego	PRO
quam	quam	PRO
maxime	magnus	ADJ
,	,	$,
mihi	ego	PRO
potissimum	possum	ADJ
esset	sum	V
dolendum	dolo	V
.	.	$.

verum	verus	ADJ
.	.	$.

nunc	nunc	ADV
autem	autem	CON
nullus	nullus	PRO
relinquitur	relinquo	V
locus	locus	NN
moestitiae	mestitia	NN
,	,	$,
praesumenti	praesumo	V
de	de	AP
domini	dominus	NN
pietate	pietas	NN
.	.	$.

quam	qui	CON
bene	bene	ADV
dicis	dico	NN
,	,	$,
mea	meus	PRO
constantia	constantio	ADJ
!	!	$.
si	si	CON
meum	meus	PRO
digneris	dignor	ADJ
