token	lemma	pos
adversus	adversus	AP
insigne	insigne	NN
donum	donum	NN
naturae	natura	NN
parentis	parens	NN
et	et	CON
gratiae	gratia	NN
,	,	$,
calumniam	calumnis	NN
veterem	veter	NN
et	et	CON
majorum	magnus	NN
nostrorum	noster	PRO
judicio	iudicium	NN
condemnatam	condemno	V
excitat	excito	V
improbus	improbus	NN
litigator	litigator	V
,	,	$,
et	et	CON
conquirens	conquiro	V
undique	undique	ADV
imperitiae	imperitia	NN
suae	suus	PRO
solatia	solatium	NN
,	,	$,
sibi	sui	PRO
proficere	proficio	V
sperat	spero	V
ad	ad	ADV
gloriam	gloria	NN
,	,	$,
si	si	CON
multos	multus	ADJ
similes	similis	ADJ
sui	suus	PRO
,	,	$,
id	is	PRO
est	sum	V
si	si	CON
eos	is	PRO
viderit	video	V
imperitos	imperitus	NN
;	;	$.
habet	habeo	V
enim	enim	CON
hoc	hic	PRO
proprium	proprius	ADJ
arrogantiae	arrogantia	NN
tumor	tumor	NN
,	,	$,
ut	ut	CON
se	sui	PRO
commetiatur	commetior	V
aliis	alius	PRO
,	,	$,
bona	bonum	NN
sua	suus	PRO
,	,	$,
si	si	CON
qua	quis	PRO
sunt	sum	V
,	,	$,
efferens	effero	V
,	,	$,
deprimens	deprimo	V
aliena	alienus	ADJ
;	;	$.
defectumque	defectus	NN
proximi	proximus	NN
,	,	$,
suum	suus	PRO
putet	puto	V
esse	sum	V
profectum	profectus	NN
.	.	$.

omnibus	omnis	ADJ
autem	autem	CON
recte	recte	ADJ
sapientibus	sapiens	NN
indubium	indubium	NN
est	sum	V
quod	quod	CON
natura	natura	NN
,	,	$,
clementissima	clemens	NN
parens	parens	NN
omnium	omnis	ADJ
,	,	$,
et	et	CON
dispositissima	dispositus	NN
moderatrix	moderatrixr	V
,	,	$,
inter	inter	AP
caetera	caeterus	ADJ
quae	qui	PRO
genuit	geneo	V
animantia	animantia	ADJ
,	,	$,
hominem	homo	NN
privilegio	privilegium	NN
rationis	ratio	NN
extulit	exfero	V
,	,	$,
et	et	CON
usu	usus	NN
eloquii	eloquium	NN
insignivit	insignio	V
:	:	$.
id	is	PRO
agens	ago	V
sedulitate	sedulitas	NN
officiosa	officiosus	ADJ
,	,	$,
et	et	CON
lege	lex	NN
dispositissima	dispositus	NN
,	,	$,
ut	ut	CON
homo	homo	NN
qui	qui	PRO
gravedine	gravedo	NN
