token	lemma	pos
mores	mos	NN
dicimus	dico	V
animi	animus	NN
vitia	vitium	NN
vel	vel	CON
virtutes	virtus	NN
quae	qui	PRO
nos	nos	PRO
ad	ad	AP
mala	malum	NN
vel	vel	CON
bona	bonus	ADJ
opera	opus	NN
pronos	pronus	ADJ
efficiunt	efficio	V
.	.	$.

sunt	sum	V
autem	autem	CON
vitia	vitium	NN
seu	seu	CON
bona	bonum	ADJ
non	non	ADV
tantum	tantum	ADJ
animi	animus	NN
,	,	$,
sed	sed	CON
etiam	etiam	CON
corporis	corpus	NN
;	;	$.
ut	ut	CON
debilitas	debilitas	NN
corporis	corpus	NN
vel	vel	CON
fortitudo	fortitudo	NN
quam	quam	ADV
vires	vis	NN
appellamus	appello	V
;	;	$.
pigredo	pigredo	NN
vel	vel	CON
velocitas	velocitas	NN
,	,	$,
claudicatio	claudicatio	NN
vel	vel	CON
rectitudo	rectitudo	NN
,	,	$,
caecitas	caecita	NN
vel	vel	CON
visio	visio	NN
.	.	$.

unde	unde	ADV
ad	ad	ADV
differentiam	differentia	NN
talium	talis	PRO
cum	cum	CON
dicimus	dico	V
:	:	$.
vitia	vitium	NN
,	,	$,
praemisimus	praemitto	V
:	:	$.
animi	animus	NN
.	.	$.

haec	hic	PRO
autem	autem	CON
vitia	vitium	NN
,	,	$,
scilicet	scilicet	ADV
animi	animus	NN
,	,	$,
contraria	contrarius	ADJ
sunt	sum	V
virtutibus	virtus	NN
,	,	$,
ut	ut	CON
injustitia	iniustitia	NN
justitiae	iustitia	NN
,	,	$,
ignavia	ignavia	ADJ
constantiae	constantia	NP
,	,	$,
intemperatia	intemperatia	NN
temperantiae	temperantia	NN
.	.	$.

sunt	sum	V
autem	autem	CON
animi	animus	NN
quoque	quoque	ADV
nonnulla	nonnullus	ADJ
vitia	vitium	NN
seu	seu	CON
bona	bonum	NN
,	,	$,
quae	qui	PRO
a	ab	AP
moribus	mos	NN
sejuncta	seiungo	V
sunt	sum	V
;	;	$.
nec	nec	CON
vitam	vita	NN
humanam	humanus	ADJ
vituperio	vituperium	NN
vel	vel	CON
laude	laus	NN
dignam	dignus	ADJ
efficiunt	efficio	V
,	,	$,
ut	ut	CON
hebetudo	hebetudo	NN
animi	animus	NN
vel	vel	CON
velocitas	velocitas	NN
ingenii	ingenium	NN
;	;	$.
obliviosum	obliviosus	NN
vel	vel	CON
memorem	memor	NN
esse	sum	V
,	,	$,
ignorantia	ignorantia	NN
vel	vel	CON
scientia	scientia	NN
.	.	$.

quae	qui	PRO
quidem	quidem	ADV
omnia	omnis	ADJ
cum	cum	CON
aeque	aeque	ADV
reprobis	reprobus	ADJ
ut	ut	CON
bonis	bonus	ADJ
eveniant	evenio	V
,	,	$,
nihil	nihil	PRO
ad	ad	AP
morum	mos	NN
compositionem	compositio	NN
pertinent	pertineo	V
nec	nec	CON
turpem	turpis	NN
vel	vel	CON
honestam	honestus	NN
efficiunt	efficio	V
vitam	vita	NN
.	.	$.

unde	unde	ADV
bene	bene	ADJ
,	,	$,
cum	cum	CON
superius	superus	ADV
praemisissemus	praemitto	V
:	:	$.
animi	animus	NN
vitia	vitium	NN
,	,	$,
ad	ad	ADV
exclusionem	exclusio	NN
talium	talis	PRO
subjunximus	subiungo	V
:	:	$.
quae	qui	PRO
ad	ad	ADV
mala	malus	ADJ
opera	opus	NN
pronos	pronus	NP
efficiunt	efficio	V
,	,	$,
id	is	PRO
est	sum	V
voluntatem	voluntas	NN
inclinant	inclino	V
ad	ad	ADV
aliquid	aliquis	PRO
,	,	$,
quod	quod	CON
minime	parum	ADV
convenit	convenio	V
fieri	fio	V
vel	vel	CON
dimitti	dimitto	V
.	.	$.

non	non	ADV
est	sum	V
autem	autem	CON
hujusmodi	huiusmodi	PTC
animi	animus	NN
vitium	vitium	NN
