token	lemma	pos
quis	quis	PRO
dabit	do	V
capiti	capitum	NN
meo	meus	PRO
aquam	aqua	NN
,	,	$,
et	et	CON
oculis	oculus	NN
meis	meus	PRO
fontem	fons	NN
lacrymarum	lacrima	NN
,	,	$,
et	et	CON
plorabo	ploro	NN
interfectos	interfectus	V
populi	populus	NN
mei	meus	PRO
?	?	$.
utinam	utinam	ADV
in	in	AP
fletum	fletus	NN
totus	totus	ADJ
effluam	effluus	NP
,	,	$,
et	et	CON
pascatur	pasco	V
lacrymarum	lacrima	NN
solatio	solatio	NN
dolor	dolor	NN
meus	meus	PRO
;	;	$.
deducant	deduco	V
oculi	oculus	NN
mei	meus	PRO
lacrymas	lacrima	NN
,	,	$,
deficiat	deficio	V
in	in	AP
dolore	dolor	NN
vita	vita	NN
mea	meus	PRO
,	,	$,
quia	quia	CON
vox	vox	NN
lamentationis	lamentatio	ADJ
audita	audio	V
est	sum	V
de	de	AP
sion	sion	NE
,	,	$,
vastati	vastatus	V
sumus	sum	V
et	et	CON
confusi	confusio	V
vehementer	vehementer	ADV
.	.	$.

cecidit	cado	V
corona	corona	NN
capitis	caput	NN
nostri	noster	NN
,	,	$,
et	et	CON
in	in	AP
luctum	luctus	NN
conversus	conversus	V
est	sum	V
chorus	chorus	NN
noster	noster	PRO
.	.	$.

quidquid	quisquis	PRO
adversus	adversus	NN
jerusalem	jerusalem	NE
et	et	CON
regnum	regnum	NN
ejus	is	PRO
,	,	$,
multis	multus	ADJ
saeculorum	saeculum	NN
curriculis	curriculus	ADJ
prophetae	propheta	NN
comminando	commino	V
praedixerant	praedico	V
dies	dies	NN
una	unus	NUM
lugubris	lugubrum	NN
et	et	CON
infelix	infeligo	NN
,	,	$,
dies	dies	NN
caliginosa	caliginosus	NE
et	et	CON
tenebrosior	tenebrosus	NN
omni	omnis	ADJ
nocte	nox	NN
,	,	$,
complevit	compleo	V
.	.	$.

de	de	AP
hac	hic	PRO
damnatissima	damnatus	NN
die	dies	NN
credo	credo	V
certum	certus	ADJ
et	et	CON
expressum	expressus	NN
ezechielis	ezechiel	NE
oraculum	oraculum	NN
