token	lemma	pos
gloriosus	gloriosus	ADJ
igitur	igitur	CON
et	et	CON
famosus	famosus	NP
rex	rex	NN
francorum	franci	NE
ludovicus	ludovicus	NP
regis	rex	NN
magnifici	magnificus	V
philippi	philippus	NP
filius	filius	NN
,	,	$,
primaevae	primaevus	ADJ
flore	florus	NN
aetatis	aetas	NN
fere	fere	ADV
adhuc	adhuc	ADV
duodennis	duodennus	NN
,	,	$,
seu	seu	CON
tredennis	tredenna	ADJ
,	,	$,
elegans	elegans	ADJ
et	et	CON
formosus	formosus	ADJ
,	,	$,
tanta	tantus	ADJ
morum	mos	NN
probabilium	probabilis	NN
venerabili	venerabilis	ADJ
industria	industria	NN
,	,	$,
tanta	tantus	ADJ
amoenissimi	amo	NN
corporis	corpus	NN
proceritate	proceritas	V
proficiebat	proficio	V
,	,	$,
ut	ut	CON
et	et	CON
sceptris	sceptra	NN
futuris	futurus	ADJ
re	res	NN
ipsa	ipse	PRO
amplificationem	amplificatio	NN
honorificam	honorificus	V
incunctanter	incunctanter	V
promitteret	promitto	V
,	,	$,
et	et	CON
ecclesiarum	ecclesia	NN
et	et	CON
pauperum	pauper	NN
tuitioni	tuitio	NN
spem	spes	NN
votivam	votivus	ADJ
generaret	genero	V
.	.	$.

altus	altus	NN
puerulus	puerus	ADJ
,	,	$,
antiqua	antiquus	ADJ
regum	rex	NN
caroli	carolus	NE
magni	magnus	ADJ
et	et	CON
aliorum	alius	PRO
excellentiorum	excellens	NN
hoc	hic	PRO
ipsum	ipse	PRO
testamentis	testamentum	NN
imperialibus	imperialis	ADJ
testificantium	testifico	NN
consuetudine	consuetudo	NN
,	,	$,
apud	apud	AP
sanctum	sanctus	ADJ
dionysium	dionysia	NP
tanta	tantus	PRO
et	et	CON
quasi	quasi	CON
nativa	nativus	ADJ
dulcedine	dulcedo	NN
ipsis	ipse	PRO
sanctis	sanctus	ADJ
martyribus	martyr	NN
suisque	suus	PRO
adhaesit	adhaedo	V
,	,	$,
usque	usque	ADV
adeo	adeo	ADV
ut	ut	CON
innatam	innatutus	ADJ
a	ab	AP
puero	puer	NN
eorum	is	PRO
ecclesiae	ecclesia	NN
amicitiam	amicitia	NN
toto	totus	PRO
tempore	tempus	NN
vitae	vita	NN
suae	suus	PRO
multa	multus	ADJ
liberalitate	liberalitas	NN
et	et	CON
honorificentia	honorificentia	NN
continuaret	continuo	V
,	,	$,
et	et	CON
in	in	AP
fine	finis	NN
summe	sum	ADJ
post	post	ADV
deum	deus	NN
sperans	spero	V
ab	ab	AP
eis	is	PRO
seipsum	seipse	PRO
et	et	CON
corpore	corpus	NN
et	et	CON
anima	anima	NN
,	,	$,
ut	ut	CON
,	,	$,
si	si	CON
fieri	fio	V
posset	possum	V
,	,	$,
ibidem	ibidem	ADV
monachus	monachus	NN
efficeretur	efficio	V
,	,	$,
devotissime	devote	ADV
deliberando	delibero	V
liberando	libero	V
contraderet	contrado	V
.	.	$.

sane	sane	ADV
praefata	praefatus	ADJ
aetate	aetas	NN
,	,	$,
animo	animus	NN
juvenili	juvenilis	ADJ
vigere	viger	V
maturabat	maturo	V
virtus	virtus	NN
nativa	nativus	ADJ
impatiens	impatiens	V
venationum	venatio	NN
,	,	$,
et	et	CON
ludicrorum	ludicrum	ADJ
puerilium	puerilis	NN
,	,	$,
quibus	qui	PRO
aetas	aetas	NN
hujusmodi	huiusmodi	PTC
lascivire	lascivio	V
et	et	CON
arma	arma	NN
dediscere	dedisco	V
consuescit	consuesco	V
.	.	$.

dumque	dum	NN
multorum	multus	ADJ
regni	regnum	NN
optimatum	optimas	NN
et	et	CON
egregie	egregius	NN
magnanimi	magnanimus	NE
regis	rex	NN
anglorum	anglus	ADJ
guillelmi	guillelmus	NP
,	,	$,
magnanimioris	magnanimis	NN
guillelmi	guillello	NP
regis	rex	NN
filii	filius	NN
anglorum	anglus	ADJ
domitoris	domitor	NN
infestatione	infestatio	NN
agitatur	agito	V
,	,	$,
robur	robur	NN
probitatis	probitas	NN
vaporat	vaporo	V
,	,	$,
exercitio	exercitio	NN
virtus	virtus	NN
arridet	arrideo	V
,	,	$,
inertiam	inertia	NN
removet	removeo	V
,	,	$,
prudentiae	prudentia	NN
oculum	oculus	NN
aperit	aperio	V
,	,	$,
otium	otium	NN
dissolvit	dissolvo	V
,	,	$,
sollicitudinem	sollicitudo	NN
accelerat	accello	V
.	.	$.

guillelmus	guillel	NP
siquidem	siquidem	CON
rex	rex	NN
anglorum	anglus	NE
,	,	$,
usui	usuus	ADJ
militiae	militia	NN
aptus	aptus	ADJ
,	,	$,
laudis	laus	NN
avarus	avarus	NN
famaeque	fama	ADJ
petitor	petitor	NN
,	,	$,
cum	cum	CON
,	,	$,
exhaeredato	exhaeredo	NN
majore	magnus	NN
natu	natus	NN
roberto	robertus	ADJ
fratre	frater	NN
suo	suus	NN
,	,	$,
patri	pater	NN
guillelmo	guillelmus	V
feliciter	feliciter	ADV
successisset	succedo	V
,	,	$,
